"차종","엔진","트림","외장칼라","내장칼라","생산번호","출고센터","생산일","옵션","판매가격(만원)","기본조건","생산월조건","판촉차조건","페스타조건","슈퍼세이브조건","조건 계"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  236949","옥천출고","2025-04-22 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","5995","","","","","200","200"
"GV70","가솔린","","마칼루 그레이","블랙원톤","0R  237155","신갈출고","2025-04-23 00:00:00","드라이빙 어시스턴스 패키지1,드라이빙 어시스턴스 패키지2,뱅앤올룹슨 사운드 패키지,빌트인 캠 패키지,헤드업 디스플레이","6570","","","","","300","300"
"GV70","가솔린","","세레스 블루 (유광)","벨벳버건디투톤(벨벳버건디시트)","0R  237136","옥천출고","2025-04-23 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","6295","","","","","200","200"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237423","신갈출고","2025-04-23 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6235","","","","","200","200"
"GV70","가솔린","","우유니 화이트","블랙원톤","0R  237422","신갈출고","2025-04-23 00:00:00","파퓰러 패키지1","5740","","","","","200","200"
"GV70","가솔린","","마칼루 그레이","블랙원톤","0R  237442","남양출고","2025-04-24 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","5825","","","","","200","200"
"GV70","가솔린","","마칼루 그레이","블랙원톤","0R  237433","울산출고","2025-04-24 00:00:00","드라이빙 어시스턴스 패키지1,빌트인 캠 패키지","5660","","","","","200","200"
"GV70","가솔린","","마칼루 그레이","옵시디언블랙모노","0R  236862","신갈출고","2025-04-25 00:00:00","파퓰러 패키지2,빌트인 캠 패키지","7410","","","","","300","300"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237591","남양출고","2025-04-25 00:00:00","파노라마 선루프,빌트인 캠 패키지,파퓰러 패키지1","6565","","","","","300","300"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237720","남양출고","2025-04-25 00:00:00","빌트인 캠 패키지,드라이빙 어시스턴스 패키지1","6130","","","","","200","200"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237866","시흥출고","2025-04-25 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","5825","","","","","200","200"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  237800","신갈출고","2025-04-26 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","6295","","","","","200","200"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237812","시흥출고","2025-04-26 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6125","","","","","200","200"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237807","남양출고","2025-04-26 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6125","","","","","200","200"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  237730","함안출고","2025-04-26 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6125","","","","","200","200"
"GV70","가솔린","","마칼루 그레이","하바나 브라운","0R  237870","신갈출고","2025-04-26 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","5995","","","","","200","200"
"GV70","가솔린","","마칼루 그레이","블랙원톤","0R  238073","신갈출고","2025-04-26 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","5825","","","","","200","200"
"GV70","가솔린","","마칼루 그레이","블랙원톤","0R  238045","원주출고","2025-04-26 00:00:00","드라이빙 어시스턴스 패키지1,빌트인 캠 패키지","5660","","","","","200","200"
"GV70","가솔린","","마칼루 그레이","하바나 브라운","0R  238122","원주출고","2025-04-28 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6405","","","","","300","300"
"GV70","가솔린","","마칼루 그레이","하바나 브라운","0R  238317","신갈출고","2025-04-29 00:00:00","프리뷰 전자제어 서스펜션,빌트인 캠 패키지,드라이빙 어시스턴스 패키지2,2열 컴포트 패키지,드라이빙 어시스턴스 패키지1","6750","","","","","300","300"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  238181","남양출고","2025-04-29 00:00:00","파노라마 선루프,빌트인 캠 패키지,파퓰러 패키지1","6545","","","","","300","300"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  238164","시흥출고","2025-04-29 00:00:00","빌트인 캠 패키지,파퓰러 패키지1","6295","","","","","200","200"
"GV70","가솔린","","우유니 화이트","어반브라운/프로즌그레이","0R  238497","시흥출고","2025-04-29 00:00:00","드라이빙 어시스턴스 패키지1","6205","","","","","200","200"
"GV70","가솔린","","우유니 화이트","바닐라베이지투톤","0R  238331","남양출고","2025-04-29 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6125","","","","","200","200"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  238745","울산출고","2025-04-30 00:00:00","파퓰러 패키지1,빌트인 캠 패키지","6105","","","","","200","200"
"GV70","가솔린","","세빌 실버","옵시디언블랙모노","0R  212815","울산배송","2024-11-08 00:00:00","파퓰러 패키지1","6055","","","","","350","350"
"GV70","가솔린","","카프리 블루","옵시디언블랙/세비야레드투톤","0R  226547","매암동","2025-02-14 00:00:00","뱅앤올룹슨 사운드 패키지,파퓰러 패키지2,빌트인 캠 패키지","7280","","","","","350","350"
"GV70","가솔린","","비크 블랙","바닐라베이지투톤","0R  227420","매암동","2025-02-20 00:00:00","파퓰러 패키지2","7420","","","","","350","350"
"GV70","가솔린","","우유니 화이트","하바나 브라운","0R  228074","매암동","2025-02-24 00:00:00","무옵션","6090","","","","","350","350"
"GV70","가솔린","","우유니 화이트","옵시디언블랙/울트라마린블루투톤","0R  228351","매암동","2025-02-25 00:00:00","빌트인 캠 패키지,파노라마 선루프,아웃도어 패키지,뱅앤올룹슨 사운드 패키지,파퓰러 패키지2","8000","","","","","350","350"
"GV70","가솔린","","우유니 화이트","블랙원톤","0R  228426","매암동","2025-02-27 00:00:00","파퓰러 패키지2,빌트인 캠 패키지","6645","","","","","350","350"
"GV80","가솔린","","우유니 화이트","블랙원톤","JR  259752","영남출고","2024-12-03 00:00:00","2열 콘솔 냉온장 컵홀더,후석스마트엔터테인먼트시스템,전동식사이드스텝","7820","","","","","500","500"
"GV80","가솔린","","세빌 실버","옵시디언블랙/세비야레드투톤","JR  263440","아산출고","2024-12-18 00:00:00","파퓰러패키지(쿠페),파노라마썬루프,2열컴포트패키지(쿠페),뱅앤올룹슨사운드패키지,컨비니언스패키지,빌트인캠패키지","10790","","","","","500","500"
"GV80","가솔린","","마칼루 그레이","블랙원톤","JR  264557","울산배송","2024-12-23 00:00:00","헤드업디스플레이,빌트인캠패키지,드라이빙 어시스턴스 패키지2(2WD)","8030","","","","","500","500"
"GV80","가솔린","","비크 블랙","블랙원톤","JR  265059","울산출고","2024-12-25 00:00:00","빌트인캠패키지,파퓰러패키지(5인승AWD)","8540","","","","","500","500"
"GV80","가솔린","","비크 블랙","블랙모노/바잘트","JR  265010","원주출고","2024-12-25 00:00:00","파퓰러패키지(5인승AWD)","8755","","","","","500","500"
"GV80","가솔린","","비크 블랙","블랙모노/바잘트","JR  264991","함안출고","2024-12-25 00:00:00","파퓰러패키지(5인승AWD)","8755","","","","","500","500"
"GV80","가솔린","","마칼루 그레이","블랙원톤","JR  265279","울산배송","2024-12-26 00:00:00","무옵션","7915","","","","","500","500"
"GV80","가솔린","","비크 블랙","블랙원톤","JR  265961","담양출고","2024-12-28 00:00:00","빌트인캠패키지,파퓰러패키지(5인승AWD)","8540","","","","","500","500"
"GV80","가솔린","","비크 블랙","블랙모노/바잘트","JR  265931","아산출고","2024-12-28 00:00:00","파퓰러패키지(5인승AWD)","8755","","","","","500","500"
"GV80","가솔린","","비크 블랙","블랙원톤","JR  265965","아산출고","2024-12-30 00:00:00","빌트인캠패키지,파퓰러패키지(5인승AWD)","8540","","","","","500","500"
"GV80","가솔린","","비크 블랙","블랙원톤","JR  266029","아산출고","2024-12-30 00:00:00","빌트인캠패키지,파퓰러패키지(5인승AWD)","8540","","","","","500","500"
"GV80","가솔린","","마칼루 그레이","바닐라베이지투톤","JR  266229","시흥출고","2024-12-31 00:00:00","무옵션","8045","","","","","500","500"
